,Incident Datetime,Incident Description,Analysis Neighborhood,Intersection,Latitude,Longitude
215452,2019/04/13 10:00:00 PM,"Vehicle, Stolen, Other Vehicle",Tenderloin,POLK ST \ POST ST,37.786827525789036,-122.41992794913617
215606,2019/04/27 05:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,JAMESTOWN AVE \ CORONADO ST,37.716921904910656,-122.39072310643705
215700,2019/04/28 07:17:00 PM,"Vehicle, Stolen, Auto",Haight Ashbury,BEULAH ST \ SHRADER ST,37.767517857092216,-122.45148726537441
215706,2019/04/28 12:35:00 PM,"Vehicle, Stolen, Auto",Western Addition,VAN NESS AVE \ CEDAR ST,37.78616615811754,-122.42137337495188
215760,2019/04/27 08:00:00 PM,"Vehicle, Stolen & Recovered",Outer Mission,BOSWORTH ST \ ROTTECK ST,37.73318018531153,-122.43112276533188
215838,2019/04/28 12:30:00 PM,"Vehicle, Stolen, Auto",Lone Mountain/USF,HAYES ST \ LYON ST,37.77435883162946,-122.44275486661958
215875,2019/04/28 05:00:00 PM,"Vehicle, Stolen, Motorcycle",Pacific Heights,JACKSON ST \ WEBSTER ST,37.792679913596906,-122.43291757676808
215878,2019/04/28 10:00:00 PM,"Vehicle, Stolen, Auto",Tenderloin,GEARY ST \ LEAVENWORTH ST,37.7865198190659,-122.41480664938405
215882,2019/01/20 12:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,UNDERWOOD AVE \ JENNINGS ST,37.72766640042057,-122.38810994589365
215898,2019/04/29 10:33:00 AM,"Vehicle, Stolen, Auto",Tenderloin,OLIVE ST \ LARKIN ST,37.78470980307824,-122.41780582056246
215901,2019/04/29 09:28:00 AM,"Vehicle, Stolen & Recovered",Lakeshore,TAPIA DR \ HOLLOWAY AVE,37.720972223043134,-122.48066940724705
215919,2019/04/28 12:00:00 AM,"Vehicle, Stolen, Truck",West of Twin Peaks,ULLOA ST \ 15TH AVE,37.741383105948465,-122.4712259407583
215922,2019/04/27 07:00:00 PM,"Vehicle, Stolen, Other Vehicle",Bayview Hunters Point,QUINT ST \ OAKDALE AVE,37.73778405361255,-122.39594482891908
215996,2019/04/28 01:30:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,KALMANOVITZ ST \ ORSI CIR,37.72734692336358,-122.39682076673294
216011,2019/04/27 01:30:00 AM,"Vehicle, Stolen, Other Vehicle",Sunset/Parkside,MELBA AVE \ EUCALYPTUS DR,37.731129004616825,-122.4782466428166
216016,2019/04/29 04:30:00 PM,"Vehicle, Stolen, Auto",Marina,FILBERT ST \ SCOTT ST,37.79739358570342,-122.44061007843756
216057,2019/04/29 11:00:00 AM,"Vehicle, Stolen & Recovered",Visitacion Valley,SUNNYDALE AVE \ PEABODY ST,37.70959004083106,-122.40773363150836
216059,2019/04/29 09:00:00 AM,"Vehicle, Stolen, Other Vehicle",Financial District/South Beach,NATOMA ST \ NEW MONTGOMERY ST,37.78663354136354,-122.39950216452112
216063,2019/04/27 06:00:00 PM,"Vehicle, Stolen, Auto",Outer Richmond,ANZA ST \ 21ST AVE,37.77835990552444,-122.48031047334229
216070,2019/04/29 06:26:00 PM,"Vehicle, Stolen & Recovered",Mission Bay,04TH ST \ MISSION ROCK ST,37.77283099431839,-122.39137353346595
216106,2019/04/28 03:00:00 AM,"Vehicle, Stolen, Auto",Western Addition,EDDY ST \ WEBSTER ST,37.781645583405364,-122.4306092003424
216116,2019/04/28 06:00:00 PM,"Vehicle, Stolen, Motorcycle",Nob Hill,SUTTER ST \ POLK ST,37.78775665157557,-122.42011607573366
216129,2019/04/29 06:15:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,SPEAR ST \ HARRISON ST,37.78883777870189,-122.38942894299095
216272,2019/04/29 03:00:00 PM,"Vehicle, Stolen, Motorcycle",Noe Valley,25TH ST \ FOUNTAIN ST,37.74923081643317,-122.44153807834527
216275,2019/04/29 11:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,THORNTON AVE \ POMONA ST,37.73085415535113,-122.39364555583076
216299,2019/04/07 07:30:00 PM,"Vehicle, Stolen, Auto",Potrero Hill,20TH ST \ INDIANA ST,37.76036149087783,-122.39141752820116
216316,2019/04/30 10:55:00 AM,"Vehicle, Stolen, Auto",Sunset/Parkside,28TH AVE \ JUDAH ST,37.761275627774786,-122.4866398979905
216334,2019/04/29 11:25:00 PM,"Vehicle, Stolen, Auto",Tenderloin,08TH ST \ GROVE ST \ HYDE ST \ MARKET ST,37.77871942789032,-122.4147412230519
216407,2019/04/29 11:30:00 AM,"Vehicle, Stolen, Motorcycle",Potrero Hill,03RD ST \ 22ND ST,37.757939704279536,-122.38831553235393
216445,2019/04/14 07:35:00 PM,"Vehicle, Stolen, Other Vehicle",Lincoln Park,39TH AVE \ CLEMENT ST,37.781327195293386,-122.4998705718611
216544,2019/04/26 06:30:00 PM,"Vehicle, Stolen, Truck",Bayview Hunters Point,TUNNEL AVE \ LATHROP AVE,37.71105017402925,-122.40106242786841
216564,2019/04/26 07:00:00 AM,"Vehicle, Stolen, Auto",Sunset/Parkside,GREAT HWY \ LA PLAYA \ LAWTON ST,37.75655122870687,-122.50890254470623
216601,2019/04/30 04:00:00 PM,"Vehicle, Stolen, Other Vehicle",Nob Hill,BUSH ST \ MASON ST,37.789951423257065,-122.41043324691944
216605,2019/04/15 10:00:00 PM,"Vehicle, Stolen, Auto",Inner Richmond,BALBOA ST \ 06TH AVE,37.77723477802328,-122.46401060251719
216721,2019/04/28 08:00:00 PM,"Vehicle, Stolen, Auto",Lone Mountain/USF,ANZA ST \ ROSSI AVE,37.77969533742865,-122.45649694410828
216724,2019/04/30 11:30:00 PM,"Vehicle, Stolen, Auto",Western Addition,GALILEE LN \ CLEARY CT \ LAGUNA ST,37.78392473449428,-122.42777887211064
216728,2019/04/30 10:30:00 PM,"Vehicle, Stolen, Truck",Tenderloin,GEARY ST \ JONES ST,37.786729743910534,-122.41316144562204
216732,2019/04/30 07:00:00 PM,"Vehicle, Stolen, Motorcycle",Inner Sunset,IRVING ST \ 12TH AVE,37.763895942654145,-122.4695219656126
216737,2019/04/30 06:00:00 PM,"Vehicle, Stolen, Auto",Visitacion Valley,VELASCO AVE \ CALGARY ST \ SAWYER ST,37.70899533715967,-122.41596400031477
216781,2019/04/25 12:00:00 PM,"Vehicle, Stolen, Auto",Excelsior,VIENNA ST \ AVALON AVE,37.72515104304132,-122.426911707231
216783,2018/10/18 04:00:00 PM,"Vehicle, Stolen, Auto",South of Market,06TH ST \ TEHAMA ST,37.779314673752964,-122.40662820078329
216784,2019/04/30 09:30:00 PM,"Vehicle, Stolen, Auto",Lakeshore,TAPIA DR \ PINTO AVE,37.72039897116088,-122.48135379506492
216811,2019/05/01 08:00:00 AM,"Vehicle, Stolen & Recovered",Outer Richmond,FULTON ST \ LA PLAYA,37.77139603094359,-122.50989475109743
216967,2019/05/01 12:30:00 PM,"Vehicle, Stolen & Recovered",Mission,HOWARD ST \ 12TH ST,37.771723945716964,-122.41689981979252
216982,2019/05/01 07:00:00 AM,"Vehicle, Stolen, Auto",Bayview Hunters Point,LA SALLE AVE \ NEWCOMB AVE,37.73307082057338,-122.38500153981813
217120,2019/02/20 06:10:00 PM,"Vehicle, Stolen, Other Vehicle",Tenderloin,GOLDEN GATE AVE \ HYDE ST,37.781654260627704,-122.41550518013351
217174,2019/02/20 06:10:00 PM,"Vehicle, Stolen, Other Vehicle",Tenderloin,MCALLISTER ST \ BREEN PL,37.780614965813264,-122.41613809985034
217209,2019/05/02 12:01:00 AM,"Vehicle, Stolen, Auto",Presidio Heights,WALNUT ST \ CLAY ST,37.788856510753625,-122.44883578194849
217224,2019/04/18 03:00:00 PM,"Vehicle, Stolen, Motorcycle",Outer Richmond,17TH AVE \ CALIFORNIA ST,37.784271124247276,-122.47643680448161
217225,2019/04/30 10:30:00 PM,"Vehicle, Stolen, Auto",Presidio Heights,GEARY BLVD \ SPRUCE ST,37.78171742768215,-122.45317038919563
217258,2019/05/01 07:30:00 PM,"Vehicle, Stolen, Motorcycle",Pacific Heights,STEINER ST \ SACRAMENTO ST,37.78962925647858,-122.4356732788115
217271,2019/05/02 01:00:00 PM,"Vehicle, Stolen, Motorcycle",Tenderloin,LARKIN ST \ HAYES ST,37.77772275002857,-122.41640107183977
217318,2019/05/01 11:30:00 PM,"Vehicle, Stolen, Truck",Bayview Hunters Point,CASHMERE ST \ HUDSON AVE,37.7358032525956,-122.38342544658873
217357,2019/05/02 12:00:00 AM,"Vehicle, Stolen, Auto",Castro/Upper Market,16TH ST \ CHURCH ST,37.764507612191245,-122.42866513028684
217378,2019/05/02 07:30:00 PM,"Vehicle, Stolen & Recovered",Hayes Valley,PAGE ST \ BUCHANAN ST,37.773455461431,-122.42735743676651
217387,2019/05/02 08:35:00 PM,"Vehicle, Stolen, Auto",Tenderloin,MYRTLE ST \ LARKIN ST,37.78564170879834,-122.41799627043913
217428,2019/05/01 03:30:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,FILLMORE ST \ HAYES ST,37.7758343406229,-122.4311986105985
217500,2019/04/29 08:00:00 AM,"Vehicle, Stolen, Motorcycle",Pacific Heights,ORBEN PL \ CALIFORNIA ST,37.78901066632772,-122.433018899328
217503,2019/05/02 11:00:00 PM,"Vehicle, Stolen, Auto",Outer Richmond,UNNAMED 018 \ 36TH AVE,37.78104179446184,-122.49662818899574
217521,2019/04/30 08:00:00 AM,"Vehicle, Stolen, Auto",Hayes Valley,HERMANN ST \ WEBSTER ST,37.770451759416225,-122.428426181173
217522,2019/04/17 09:30:00 AM,"Vehicle, Stolen, Auto",Mission,ERIE ST \ MISSION ST,37.76904544503434,-122.42003209203392
217575,2019/05/02 03:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,LANE ST \ REVERE AVE,37.73166293784926,-122.39016440205604
217602,2019/05/03 12:00:00 AM,"Vehicle, Stolen, Auto",West of Twin Peaks,BENGAL ALY \ MIRALOMA DR,37.738111063282474,-122.46144127516679
217612,2019/05/01 07:20:00 PM,"Vehicle, Stolen, Motorcycle",Tenderloin,FELL ST \ 10TH ST \ MARKET ST \ POLK ST,37.776540892693525,-122.41750146383842
217631,2019/05/01 08:00:00 AM,"Vehicle, Stolen, Motorcycle",South of Market,04TH ST \ CLEMENTINA ST,37.78245274161194,-122.40169620482605
217666,2019/05/03 12:00:00 AM,"Vehicle, Stolen, Motorcycle",Inner Richmond,ANZA ST \ 09TH AVE,37.7789457958522,-122.4673540114583
217706,2019/04/22 06:55:00 PM,"Vehicle, Stolen & Recovered",Nob Hill,POLK ST \ AUSTIN ST \ FRANK NORRIS ST,37.789165093007924,-122.4204012466872
217716,2019/04/21 07:30:00 AM,"Vehicle, Stolen, Auto",Bayview Hunters Point,NEWCOMB AVE \ BARNEVELD AVE,37.74312376235638,-122.40327519404316
217743,2019/05/03 07:00:00 PM,"Vehicle, Stolen & Recovered",Japantown,SUTTER ST \ OCTAVIA ST,37.786924665750064,-122.42666680815432
217745,2019/05/03 05:30:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,OAK ST \ GOUGH ST,37.77502069532915,-122.42259804363691
217750,2019/05/03 02:30:00 PM,"Vehicle, Stolen, Truck",Potrero Hill,23RD ST \ KANSAS ST,37.754512119206574,-122.40255751087842
217797,2019/05/03 09:00:00 PM,"Vehicle, Stolen, Auto",Nob Hill,HYDE ST \ CALIFORNIA ST,37.79097319051128,-122.41739133606869
217904,2019/05/04 07:32:00 AM,"Vehicle, Stolen, Motorcycle",Tenderloin,MCALLISTER ST \ BREEN PL,37.780614965813264,-122.41613809985034
217905,2019/05/04 04:00:00 AM,"Vehicle, Stolen, Auto",Western Addition,EDDY ST \ WEBSTER ST,37.781645583405364,-122.4306092003424
217908,2019/05/03 08:15:00 PM,"Vehicle, Stolen, Attempted",West of Twin Peaks,EDNA ST \ MARSTON AVE,37.727464415625526,-122.44655473531996
217915,2019/05/03 05:30:00 PM,"Vehicle, Stolen, Motorcycle",Mission,24TH ST \ SAN JOSE AVE,37.75204680877511,-122.4215951527104
217926,2019/04/30 06:00:00 PM,"Vehicle, Stolen, Motorcycle",Haight Ashbury,17TH ST \ BELVEDERE ST,37.76172641810157,-122.44778035291272
217945,2019/05/03 09:00:00 PM,"Vehicle, Stolen, Auto",Russian Hill,VALLEJO ST \ POLK ST,37.79689974673389,-122.42196091177799
217963,2019/05/03 06:00:00 PM,"Vehicle, Stolen, Motorcycle",Haight Ashbury,ASHBURY ST \ CLAYTON ST,37.76272223370367,-122.44699434419931
218106,2019/05/04 10:48:00 PM,"Vehicle, Stolen, Attempted",Mission,26TH ST \ BRYANT ST,37.74960063964786,-122.40882528116093
218116,2019/05/04 10:05:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,VINTON CT \ GRANT AVE,37.79177821192182,-122.40579958020592
218140,2019/05/04 08:00:00 PM,"Vehicle, Stolen, Auto",Mission Bay,07TH ST \ KING ST,37.77113778727857,-122.40080427775587
218192,2019/05/04 08:00:00 PM,"Vehicle, Stolen, Auto",Haight Ashbury,OAK ST \ SCOTT ST,37.77334571181233,-122.4357514999046
218199,2019/05/04 10:00:00 PM,"Vehicle, Stolen, Motorcycle",Bayview Hunters Point,QUINT ST \ PALOU AVE \ SILVER AVE,37.73715618359288,-122.39651523718821
218255,2019/04/27 12:00:00 PM,"Vehicle, Stolen, Motorcycle",Noe Valley,23RD ST \ DOLORES ST,37.75343159040422,-122.42530261751959
218265,2019/05/04 09:00:00 PM,"Vehicle, Stolen & Recovered",Bayview Hunters Point,03RD ST \ ARMSTRONG AVE,37.7269798312908,-122.39357015769559
218304,2019/05/05 12:01:00 AM,"Vehicle, Stolen, Auto",Presidio Heights,BAKER ST \ POST ST,37.78389736652439,-122.44298910619568
218347,2019/02/11 12:00:00 AM,"Vehicle, Stolen, Auto",Tenderloin,FELL ST \ 10TH ST \ MARKET ST \ POLK ST,37.776540892693525,-122.41750146383842
218360,2019/05/05 09:20:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,GOUGH ST \ PAGE ST,37.77408497416307,-122.42240711807443
218378,2019/05/04 07:00:00 PM,"Vehicle, Stolen, Other Vehicle",Mission,VALENCIA ST \ 20TH ST,37.758498507780814,-122.42127173012831
218391,2019/05/02 08:00:00 PM,"Vehicle, Stolen, Other Vehicle",Nob Hill,OPHIR ALY \ COSMO PL,37.78803668051076,-122.41279675412643
218425,2019/05/05 11:30:00 PM,"Vehicle, Stolen, Truck",Chinatown,CLAY ST \ GRANT AVE,37.794263625692075,-122.40630498702015
218463,2019/05/05 10:30:00 PM,"Vehicle, Stolen, Auto",Tenderloin,MCALLISTER ST \ BREEN PL,37.780614965813264,-122.41613809985034
218464,2019/05/05 01:35:00 PM,"Vehicle, Stolen, Auto",Haight Ashbury,FREDERICK ST \ SHRADER ST,37.766591502444655,-122.451295535071
218585,2019/05/06 06:00:00 AM,"Vehicle, Stolen, Auto",Portola,SAN BRUNO AVE \ WAYLAND ST,37.72643345478486,-122.4031023085726
218590,2019/05/05 08:00:00 PM,"Vehicle, Stolen, Motorcycle",Golden Gate Park,LINCOLN WAY \ 08TH AVE,37.76596994133129,-122.46537663396336
218595,2019/02/05 06:12:00 PM,"Vehicle, Stolen, Auto",Mission,VALENCIA ST \ MCCOPPIN ST,37.77159510239282,-122.42252634633257
218599,2019/05/05 09:05:00 PM,"Vehicle, Stolen, Auto",Presidio Heights,EUCLID AVE \ COLLINS ST,37.78448090143288,-122.45013568820916
218621,2019/05/06 12:01:00 AM,"Vehicle, Stolen, Motorcycle",Western Addition,BRODERICK ST \ GOLDEN GATE AVE,37.77851146269089,-122.44021333574551
218646,2019/05/04 04:00:00 AM,"Vehicle, Stolen, Auto",South of Market,TAYLOR ST \ 06TH ST \ GOLDEN GATE AVE \ MARKET ST,37.782230573783714,-122.41029202788059
218648,2019/05/05 06:30:00 PM,"Vehicle, Stolen, Truck",Mission,ALAMEDA ST \ BRYANT ST,37.76817786907554,-122.41073071858334
218649,2019/05/04 12:30:00 PM,"Vehicle, Stolen, Auto",Japantown,STEINER ST \ POST ST,37.784944005025956,-122.43472999349041
218655,2019/05/05 08:00:00 PM,"Vehicle, Stolen, Auto",Visitacion Valley,GIRARD ST \ FRATESSA CT,37.71621130644456,-122.39992983383331
218712,2019/05/05 09:00:00 PM,"Vehicle, Stolen, Auto",Outer Mission,SHAKESPEARE ST \ DE LONG ST,37.70963986674129,-122.46460805049662
218719,2019/04/25 02:45:00 AM,"Vehicle, Stolen, Auto",South of Market,04TH ST \ BRANNAN ST,37.7783268304671,-122.39653063923613
218768,2019/05/03 07:00:00 PM,"Vehicle, Stolen & Recovered",Japantown,SUTTER ST \ OCTAVIA ST,37.786924665750064,-122.42666680815432
218769,2019/05/06 07:00:00 AM,"Vehicle, Stolen, Auto",Inner Richmond,GEARY BLVD \ 08TH AVE,37.78092458611179,-122.46642690396864
218784,2019/05/05 06:00:00 PM,"Vehicle, Stolen, Truck",Twin Peaks,VISTA LN \ PARKRIDGE DR,37.75235171503818,-122.44598442613956
218813,2019/05/05 09:00:00 PM,"Vehicle, Stolen, Auto",Pacific Heights,BUSH ST \ OCTAVIA ST,37.78786244190096,-122.4268646443297
218816,2019/05/06 05:00:00 PM,"Vehicle, Stolen, Auto",Excelsior,PARIS ST \ ITALY AVE,37.71772407211335,-122.43794480949958
218868,2019/05/03 12:00:00 PM,"Vehicle, Stolen, Motorcycle",Castro/Upper Market,UPPER TER \ CLIFFORD TER,37.76398692816273,-122.44441170918113
218937,2019/05/06 11:30:00 PM,"Vehicle, Stolen, Other Vehicle",Glen Park,RANDALL ST \ HARPER ST,37.740752943112824,-122.42984027586692
218993,2019/05/06 06:40:00 AM,"Vehicle, Stolen, Truck",Bayview Hunters Point,PENNSYLVANIA AVE \ 25TH ST,37.752544682774385,-122.39263938768423
219007,2019/05/06 04:00:00 PM,"Vehicle, Stolen, Auto",Outer Mission,MISSION ST \ HARRINGTON ST,37.725175475228745,-122.43442569801901
219021,2019/05/05 05:00:00 PM,"Vehicle, Stolen, Auto",Seacliff,WEST CLAY ST \ 22ND AVE,37.786768262597,-122.48199493083996
219023,2019/05/06 08:00:00 PM,"Vehicle, Stolen, Auto",Golden Gate Park,MASONIC AVE \ OAK ST,37.77208039339953,-122.44571666653978
219038,2019/05/06 08:00:00 AM,"Vehicle, Stolen, Motorcycle",Mission,24TH ST \ POPLAR ST,37.75207443417708,-122.42114296980318
219050,2019/05/07 05:30:00 AM,"Vehicle, Stolen, Auto",Tenderloin,ELWOOD ST \ MASON ST,37.786658873301924,-122.40977511008914
219051,2019/05/05 11:00:00 PM,"Vehicle, Stolen, Auto",South of Market,FOLSOM ST \ 10TH ST,37.77281215912856,-122.41282422762144
219058,2019/05/06 09:00:00 PM,"Vehicle, Stolen, Other Vehicle",West of Twin Peaks,JOOST AVE \ HAZELWOOD AVE,37.73223732099094,-122.45504898100448
219110,2019/05/06 06:00:00 PM,"Vehicle, Stolen, Truck",Outer Mission,FOOTE AVE \ ALEMANY BLVD,37.71464738702074,-122.44726731512198
219113,2019/04/25 10:00:00 PM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,HOLLOWAY AVE \ LEE AVE,37.721851370145785,-122.45410655339481
219152,2019/05/07 07:30:00 AM,"Vehicle, Stolen, Motorcycle",Noe Valley,22ND ST \ DOUGLASS ST,37.75422857226211,-122.4387799433498
219183,2019/05/07 08:30:00 AM,"Vehicle, Stolen, Auto",Mission,SOUTH VAN NESS AVE \ 15TH ST,37.766805241337174,-122.41764545364202
219188,2019/05/04 11:30:00 PM,"Vehicle, Stolen, Auto",Mission,ISIS ST \ 12TH ST,37.770610358214796,-122.41434425726558
219235,2019/05/06 08:00:00 PM,"Vehicle, Stolen, Auto",West of Twin Peaks,HEAD ST \ END,37.722327033683634,-122.46398157036778
219237,2019/05/07 08:27:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,03RD ST \ DONNER AVE,37.72469313623249,-122.39453212224596
219261,2019/04/30 11:00:00 AM,"Vehicle, Stolen, Auto",Financial District/South Beach,DELANCEY ST \ END,37.784774779704144,-122.39116559467018
219305,2019/05/06 08:15:00 AM,"Vehicle, Stolen, Auto",South of Market,MISSION ST \ 07TH ST,37.77921168445851,-122.41093657493794
219321,2019/05/07 06:00:00 PM,"Vehicle, Stolen, Auto",Russian Hill,FILBERT ST \ VAN NESS AVE,37.799484531422294,-122.4241705655949
219330,2019/04/07 07:00:00 PM,"Vehicle, Stolen, Auto",Russian Hill,LARKIN ST \ WASHINGTON ST,37.79346692743875,-122.4195791248608
219371,2019/05/07 09:00:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,OCEAN AVE \ LAKESHORE DR,37.73188437594508,-122.49429881229034
219624,2019/05/06 02:00:00 PM,"Vehicle, Stolen, Auto",Haight Ashbury,ASHBURY ST \ DOWNEY ST,37.76370838022416,-122.44650470706524
219633,2019/04/15 03:00:00 PM,"Vehicle, Stolen, Auto",Pacific Heights,BUSH ST \ OCTAVIA ST,37.78786244190096,-122.4268646443297
219693,2019/05/08 06:00:00 PM,"Vehicle, Stolen, Other Vehicle",Mission,SOUTH VAN NESS AVE \ 12TH ST,37.772222179073,-122.4183520340224
219846,2019/05/08 05:00:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,43RD AVE \ SANTIAGO ST,37.74378490316607,-122.50153572733606
219849,2018/05/08 05:00:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,43RD AVE \ SANTIAGO ST,37.74378490316607,-122.50153572733606
219850,2019/05/08 05:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,ELMIRA ST \ SHAFTER AVE,37.73850009473432,-122.40388206741498
219857,2019/05/08 06:00:00 PM,"Vehicle, Stolen, Truck",Bayview Hunters Point,JERROLD AVE \ PHELPS ST,37.73985319897475,-122.39126842523831
219862,2019/05/08 08:00:00 PM,"Vehicle, Stolen, Truck",Outer Richmond,FULTON ST \ 39TH AVE,37.771885391787954,-122.49918304328942
219899,2019/05/07 10:30:00 PM,"Vehicle, Stolen, Truck",Financial District/South Beach,GRANT AVE \ POST ST,37.78869399111178,-122.4052211734562
219923,2019/05/09 01:19:00 PM,"Vehicle, Stolen, Auto",Portola,SILVER AVE \ SAN BRUNO AVE,37.7324386568328,-122.40560754920037
219936,2019/05/07 10:30:00 AM,"Vehicle, Stolen, Auto",Inner Richmond,CORNWALL ST \ 06TH AVE,37.78479186614895,-122.46455138516664
219959,2019/05/09 08:45:00 AM,"Vehicle, Stolen, Auto",Sunset/Parkside,19TH AVE \ SLOAT BLVD,37.7346255713805,-122.47510247123124
219968,2019/05/08 05:30:00 PM,"Vehicle, Stolen, Auto",Mission,16TH ST \ DOLORES ST,37.76464568715584,-122.42638170958057
219979,2019/05/09 02:30:00 AM,"Vehicle, Stolen, Auto",Bayview Hunters Point,NEWCOMB AVE \ SELBY ST,37.74052854105072,-122.39912411100708
220034,2019/05/08 08:00:00 PM,"Vehicle, Stolen, Motorcycle",Outer Richmond,ALTA MAR WAY \ SEAL ROCK DR,37.7807205378917,-122.5078918793236
220055,2019/05/09 04:45:00 PM,"Vehicle, Stolen, Motorcycle",South of Market,08TH ST \ CLEMENTINA ST,37.77542835164442,-122.41061073047209
220105,2019/05/08 08:00:00 PM,"Vehicle, Stolen, Auto",North Beach,GREEN ST \ MONTGOMERY ST,37.80010428883815,-122.40424041878784
220124,2019/05/10 12:00:00 AM,"Vehicle, Stolen, Auto",South of Market,TOWNSEND ST \ CLYDE ST,37.778230398393895,-122.39353657609036
220186,2019/05/09 10:30:00 PM,"Vehicle, Stolen, Auto",West of Twin Peaks,DETROIT ST \ MANGELS AVE,37.73308768642841,-122.44432039864228
220242,2019/03/12 08:00:00 PM,"Vehicle, Stolen & Recovered",South of Market,BOARDMAN PL \ BRYANT ST,37.7751608100771,-122.40363551943442
220250,2019/05/10 09:59:00 AM,"Vehicle, Stolen, Auto",West of Twin Peaks,17TH AVE \ TARAVAL ST,37.74314359044043,-122.47355342423872
220254,2019/05/10 10:15:00 AM,"Vehicle, Stolen, Motorcycle",Mission,VALENCIA ST \ DUBOCE AVE,37.769867697086454,-122.42236482023114
220273,2019/05/09 09:00:00 PM,"Vehicle, Stolen, Other Vehicle",,,,
220288,2019/05/06 10:00:00 AM,"Vehicle, Stolen, Motorcycle",Russian Hill,CLAY ST \ LARKIN ST,37.79259308227565,-122.41940178531726
220296,2019/05/02 12:00:00 AM,"Vehicle, Stolen, Truck",Bayview Hunters Point,BOUTWELL ST \ INDUSTRIAL ST \ LOOMIS ST,37.738321361154526,-122.40564673809936
220298,2019/05/08 06:00:00 PM,"Vehicle, Stolen, Motorcycle",Sunset/Parkside,TARAVAL ST \ 48TH AVE \ GREAT HWY,37.74167301545335,-122.50686545322156
220359,2019/05/09 09:30:00 PM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,SAGAMORE ST \ PLYMOUTH AVE,37.711407963272656,-122.45603759881044
220375,2019/05/10 04:00:00 PM,"Vehicle, Stolen, Auto",Tenderloin,VAN NESS AVE \ OLIVE ST,37.78430272931328,-122.42101751556473
220405,2019/05/10 02:00:00 PM,"Vehicle, Stolen, Auto",,,,
220408,2019/05/10 02:17:00 PM,"Vehicle, Stolen, Truck",Nob Hill,POWELL ST \ BUSH ST,37.79015950003181,-122.40878610771277
220461,2019/05/10 05:30:00 PM,"Vehicle, Stolen, Auto",Western Addition,PIERCE ST \ MCALLISTER ST,37.77821277086995,-122.43505239147957
220478,2019/05/10 07:45:00 PM,"Vehicle, Stolen, Auto",Western Addition,EDDY ST \ WEBSTER ST,37.781645583405364,-122.4306092003424
220603,2019/05/10 08:00:00 PM,"Vehicle, Stolen, Motorcycle",Western Addition,STEINER ST \ ELLIS ST,37.78215090950007,-122.43416177548357
220607,2019/05/10 05:00:00 PM,"Vehicle, Stolen, Auto",Twin Peaks,ROMAIN ST \ GRAND VIEW AVE,37.75642268379072,-122.44013389389791
220611,2019/05/11 08:30:00 AM,"Vehicle, Stolen, Auto",Outer Richmond,FULTON ST \ LA PLAYA,37.77139603094359,-122.50989475109743
220659,2019/05/10 10:00:00 PM,"Vehicle, Stolen, Other Vehicle",Haight Ashbury,FREDERICK ST \ ASHBURY ST,37.76722025519877,-122.44636926042476
220735,2019/05/11 05:00:00 PM,"Vehicle, Stolen, Auto",Portola,GIRARD ST \ SILLIMAN ST,37.730975617325,-122.40608597505523
220736,2019/05/11 01:00:00 PM,"Vehicle, Stolen, Auto",Tenderloin,EDDY ST \ JONES ST,37.7839325760642,-122.4125952775858
220767,2019/05/11 01:00:00 AM,"Vehicle, Stolen, Auto",Haight Ashbury,PAGE ST \ BRODERICK ST,37.77199042287972,-122.43889910286155
220787,2019/05/11 07:00:00 PM,"Vehicle, Stolen, Auto",Russian Hill,BEACH ST \ HYDE ST,37.80665773234824,-122.42055996630992
220871,2019/05/11 09:30:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,25TH ST \ DAKOTA ST \ TEXAS ST,37.752426800122734,-122.39458697893758
220903,2019/05/11 05:00:00 PM,"Vehicle, Stolen, Auto",Golden Gate Park,FULTON ST \ 15TH AVE,37.77306261252724,-122.47342783753164
220914,2019/05/11 03:01:00 PM,"Vehicle, Stolen, Auto",Excelsior,MOSCOW ST \ BRAZIL AVE,37.72125761874312,-122.4276446487549
220919,2019/05/11 10:00:00 PM,"Vehicle, Stolen, Truck",Bernal Heights,HOLLY PARK CIR \ HIGHLAND AVE,37.737259788657155,-122.42108045548979
220922,2019/05/11 04:00:00 PM,"Vehicle, Stolen, Auto",Nob Hill,CALIFORNIA ST \ POLK ST,37.79057825823802,-122.4206873842843
